game_id,contestant_id,contestant_name,contestant_intro,occupation_phrase,occupation_text_for_model,is_winner,contestant_position,air_date,season_name,episode_num,clue_count,category_count,j_clue_count,dj_clue_count,fj_clue_count,proposed_onet_soc_code,proposed_soc_code,proposed_soc_title,proposed_soc_url,soc_uncertainty_level,soc_mapping_method,optional_soc_profile_text,cip_candidate_count,candidate_cip_codes,cip_mapping_status,clue_source_set
6313,11997,Larry Caplan,"an attorney from Tamarac, Florida",attorney,attorney,0,1,1984-09-28,Season 1,15,50,13,25,24,1,23-1011.00,23-1011,Lawyers,https://www.onetonline.org/link/summary/23-1011.00,medium_curated_match,Initial title or curated synonym,"attorney. Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",26,22.0101|22.0201|22.0202|22.0203|22.0204|22.0205|22.0206|22.0207|22.0208|22.0209|22.0210|22.0211|22.0212|22.0213|22.0214|22.0215|22.0216|22.0217|22.0218|22.0219|22.0220|22.0221|22.0222|22.0223|22.0224|22.0299,multiple_possible_programs,wolle_season1_42
6313,11999,Louise Balabanian,"an English teacher originally from Corpus Christi, Texas",english teacher,english teacher,0,2,1984-09-28,Season 1,15,50,13,25,24,1,25-3099.00,25-3099,"Teachers and Instructors, All Other",https://www.onetonline.org/link/summary/25-3099.00,low_contextual_role,unspecified teaching level,english teacher. All teachers and instructors not listed separately.,9,13.0201|13.0202|13.0203|13.1207|13.1208|13.1211|13.1304|13.1399|13.9999,multiple_possible_programs,wolle_season1_42
6313,12000,Norm Cobb,"a sales manager from Garden Grove, California",sales manager,sales manager,1,3,1984-09-28,Season 1,15,50,13,25,24,1,11-2022.00,11-2022,Sales Managers,https://www.onetonline.org/link/summary/11-2022.00,high_exact_title,Initial title or curated synonym,"sales manager. Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",5,19.0203|51.2011|52.0101|52.0201|52.1401,multiple_possible_programs,wolle_season1_42
6310,10746,Elise Beraru,"an insurance underwriter from Los Angeles, California",insurance underwriter,insurance underwriter,0,1,1984-10-03,Season 1,18,50,13,23,26,1,13-2053.00,13-2053,Insurance Underwriters,https://www.onetonline.org/link/summary/13-2053.00,high_exact_title,Initial title or curated synonym,insurance underwriter. Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,4,52.0215|52.0810|52.1304|52.1701,multiple_possible_programs,wolle_season1_42
6310,11993,Roger Gerhardstein,"a teacher originally from Bellevue, Ohio",teacher,teacher,1,2,1984-10-03,Season 1,18,50,13,23,26,1,25-3099.00,25-3099,"Teachers and Instructors, All Other",https://www.onetonline.org/link/summary/25-3099.00,low_broad_role,Broad occupation without specialty,teacher. All teachers and instructors not listed separately.,9,13.0201|13.0202|13.0203|13.1207|13.1208|13.1211|13.1304|13.1399|13.9999,multiple_possible_programs,wolle_season1_42
6310,11994,Margaret Magnus,"a waitress from Burbank, California",waitress,waitress,0,3,1984-10-03,Season 1,18,50,13,23,26,1,35-3031.00,35-3031,Waiters and Waitresses,https://www.onetonline.org/link/summary/35-3031.00,medium_curated_match,Initial title or curated synonym,waitress. Take orders and serve food and beverages to patrons at tables in dining establishment.,0,,no_crosswalk_program,wolle_season1_42
6306,11976,Richard Landon,"a restaurant manager from Santa Cruz, California (whose 3-day cash winnings total $27,400)",restaurant manager,restaurant manager,0,1,1984-11-26,Season 1,56,52,13,29,22,1,11-9051.00,11-9051,Food Service Managers,https://www.onetonline.org/link/summary/11-9051.00,medium_curated_match,Initial title or curated synonym,"restaurant manager. Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",10,12.0504|12.0509|12.0510|19.0505|52.0901|52.0904|52.0905|52.0909|52.0910|52.0999,multiple_possible_programs,wolle_season1_42
6306,11984,Leland Kennedy,"an industrial sculptor from La Mesa, California",industrial sculptor,industrial sculptor,1,2,1984-11-26,Season 1,56,52,13,29,22,1,17-2112.00,17-2112,Industrial Engineers,https://www.onetonline.org/link/summary/17-2112.00,very_low_approximate,Closest occupation title by character similarity (0.554); unverified,"industrial sculptor. Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",5,14.2701|14.3501|14.3601|15.1501|15.1503,multiple_possible_programs,wolle_season1_42
6306,11985,Sara Maikowski,a grocery store cashier originally from The Bronx,grocery store cashier,grocery store cashier,0,3,1984-11-26,Season 1,56,52,13,29,22,1,41-2011.00,41-2011,Cashiers,https://www.onetonline.org/link/summary/41-2011.00,very_low_approximate,Closest occupation title by character similarity (0.642); unverified,"grocery store cashier. Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",0,,no_crosswalk_program,wolle_season1_42
6305,11976,Richard Landon,"a restaurant manager from Santa Cruz, California (whose 3-day cash winnings total $27,400)",restaurant manager,restaurant manager,1,1,1984-11-27,Season 1,57,50,12,23,26,1,11-9051.00,11-9051,Food Service Managers,https://www.onetonline.org/link/summary/11-9051.00,medium_curated_match,Initial title or curated synonym,"restaurant manager. Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",10,12.0504|12.0509|12.0510|19.0505|52.0901|52.0904|52.0905|52.0909|52.0910|52.0999,multiple_possible_programs,wolle_season1_42
